Manifeste (thème);Manifeste (action);Répertoire;Objectif général;Objectif intermédiaire;Actions du répertoire des solutions;Cotation coût/climat;Devenir Orléans Métropole;Si Orléans Métropole ne retient pas, motif :;Etat de maturité de la solution;Financement;Ce que nous pourrons faire dès 2022;Soutenu par un document de planification existant ?;Solution Totem;cotation_cout;valeur_cout;cotation_climat;valeur_climat;Nom du thème
9.0;85;326;Ville durable;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;Développer des stratégies de coopération avec les territoires voisins pour traiter des sujets d’autonomie alimentaire ou énergétique et Réfléchir à la manière de construire des relations gagnant-gagnant avec les territoires voisins.;coût+/ impact++;Orléans Métropole pilote;;statut expérimental;n'a pas encore été chiffré;La question de la construction de contrats de réciprocité sera discutée avec les territoires voisins;;non;coût+;1;impact++;2;Ville durable
9.0;87;359;Ville durable;Préserver les ressources;Intégrer les entreprises dans la dynamique d’écologie industrielle et étendre le label d’éco quartier aux parcs d’activités;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,fonctionne;;Orléans Métropole soutien l'Institut des Territoires Circulaires;;non;coût+;1;impact++;2;Ville durable
4.0;90;132;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Oser l'expérimentation dans l'aménagement des espaces publics (suppression signalétique, pistes cyclables transitoires…);coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;fait l'objet d'une inscription au PPI;;;non;coût++;2;impact+++;3;Mobilités durables
4.0;90;139;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Accélérer la mise en œuvre du Plan Vélo 2019;coût +++/impact+++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;fait l'objet d'une inscription au PPI;Mise en œuvre du Plan Vélo, mais avec un budget annuel 2x moindre que l'objectif;PDU;oui;coût+++;3;impact+++;3;Mobilités durables
4.0;90;144;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Etendre le maillage de compteurs vélo et communiquer sur la pratique;coût ++/ impact ++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;;autre;non;coût++;2;impact++;2;Mobilités durables
4.0;90;147;Mobilité;Réorganiser la circulation et le stationnement motorisés;Etendre les zones 30, voir créer une métropole à 30 km/h;coût +/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Dans le cadre de la réflexion sur le Plan de Circulation de la ville d'Orléans, étude des extensions/généralisations des zones 30 dans quartiers;PDU;non;coût+;1;impact+++;3;Mobilités durables
4.0;90;152;Mobilité;Réorganiser la circulation et le stationnement motorisés;Développer le contrôle du stationnement (via vidéo-verbalisation ou autre);coût ++/impact +;Orléans Métropole soutient;;besoin d'études préalables;;Etude stratégique sur la politique stationnement en cours (2021-2022);PDU;non;coût++;2;impact+;1;Mobilités durables
4.0;90;153;Mobilité;Réorganiser la circulation et le stationnement motorisés;Développer le stationnement moto/scooter pour éviter l'encombrement des stationnements vélo;coût +/impact+;Orléans Métropole soutient;;besoin d'études préalables;;;;non;coût+;1;impact+;1;Mobilités durables
7.0;97;74;Eau;Communication sur la thématique de l'EAU;Créer des supports qui permettent de toucher tous les publics, sans forme de ségrégation liés à l'accessibilité des supports de communication;coût+/ impact++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Démarrage de la création des premiers supports type promotion des Techniques Alternatives auprès des particuliers;;non;coût+;1;impact++;2;Eau et milieux aquatiques
7.0;97;81;Eau;Communication sur la thématique de l'EAU;Former les jeunes générations, en leur donnant à voir l'histoire et les possibilités d'avenir. Contenu pédagogique sur l'eau, les milieux aquatiques, les inondations à tous les niveaux scolaires (écoles, collèges, lycées) avec une continuité dans les programmes éducatifs, adapté au niveau scolaire;coût +/impact +++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Projet Compte Goutte / visite de nos stations épuration / film à promouvoir / Création d'un projet Cité Educative autour de l'Eau;;oui;coût+;1;impact+++;3;Eau et milieux aquatiques
6.0;97;92;Inondation;Sensibilisation de la population au risque inondation en portant une attention particulière au plus jeune;Parcours de visite (cyclables, piétons…) avec signalétiques explicatives;coût +/impact+;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Etat des  lieux des parcours déjà existants;PAPI;non;coût+;1;impact+;1;Risque inondation
8.0;97;206;Alimentation;Éduquer et/ou sensibiliser les populations à l’enjeu de l’agriculture et l’alimentation durable;"Développer des actions ""éducatives""  et l’implication des enfants et des enseignants";coût +/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Recensement des initiatives déjà en place sur les communes. Partenariat avec l'éducation nationale.;;non;coût+;1;impact+++;3;Alimentation et agriculture
3.0;97;243;Biodiversité;Sensibilisation de la population aux enjeux et aux solutions accessibles au plus grand nombre;Accroitre les actions sensibilisation école et citoyens;coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,fonctionne;n'a pas encore été chiffré;Assurer la promotion de la malette pédagogique développée par Orléans Métropole auprès des communes (centres de loisirs, périscolaire), auprès de l'Education Nationale, …;;non;coût++;2;impact++;2;Biodiversité
1.0;13,97;6;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Partager les données de consommation pour inciter à la réduction (ex: défi Famille à Energie Positive);coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;fait l'objet d'une inscription au PPI;Valoriser l'Observatoire de l'Energie et du Climat pour communiquer sur des données à l'échelle de la Métropole.;PCAET;non;coût+;1;impact++;2;Energies renouvelables
1.0;13,97;13;EnR;Assurer la montée en compétences du territoire et soutenir les projets;"Faire des pubs comme ""Fumer tue"" appliquées à la transition énergétique et aux EnR, informer visuellement avec des images choc (montrer la réalité de ceux qui sont pénalisés par nos modèles de consommation et production)";coût +/impact+;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Plan de communication en faveur de la transition écologique;;non;coût+;1;impact+;1;Energies renouvelables
1.0;13,97;19;EnR;Assurer la montée en compétences du territoire et soutenir les projets;"Amener un catalogue des possibilités en matière de sobriété et de développement des énergies renouvelables. ""Pour les particuliers et pour les collectivités : les projets mis en oeuvre ailleurs pour les répliquer ici.""";coût+/ impact++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Promouvoir le guide énergétique (radar des solutions) ainsi que les fiches retours d'expériences du référentiel Ville durable;PCAET;non;coût+;1;impact++;2;Energies renouvelables
3.0;22,97;250;Biodiversité;Sensibilisation de la population aux enjeux et aux solutions accessibles au plus grand nombre;Faire connaître la réserve naturelle de Saint-Mesmin et ses enjeux;coût+/ impact++;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Prévoir des balades, interviews, reportage avec LNE sur la réserve;;non;coût+;1;impact++;2;Biodiversité
3.0;24;241;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Augmenter les surfaces en friches des terrains agricoles;coût +/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Sur secteur de St Hilaire St Mesmin, suite au diagnostic Faune Flore de ce site d'intérêt métropolitain, et avec le demarrage de l'IBC de la commune, cette dimension pourra être étudiée;;non;coût+;1;impact+++;3;Biodiversité
3.0;24,26;240;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Changer la nature des plantations dans les « trop petits » espaces publics, les transformer afin de les rendre plus utiles à la biodiversité (oiseaux, insectes…);coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;"Identifier les espaces en question, mettre en place des actions simples et ""low tech"" pour préserver la petite faune (pots renversés, hibernaculum, fagots de bois…)";;non;coût++;2;impact++;2;Biodiversité
4.0;35,97;167;Mobilité;Sensibiliser et accompagner les usagers vers les mobilités durables;Relancer la semaine de la mobilité (avec des opérations de gratuité des transports et services vélos,  bourses aux vélos, ateliers de réparation …);coût +/impact +++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Projet d'un évenement autour du vélo en 2022, à confirmer;PDU;non;coût+;1;impact+++;3;Mobilités durables
5.0;48,97;393;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Soutenir financièrement l'offre d'ateliers pédagogiques pour initier les habitants à l'éco-consommation : ex cuisine anti-gaspi, achats responsables, réemploi, réparation, customisation, compostage, jardinage sans déchet, entretien sans produit toxique;coût ++/ impact ++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Relancer un programme d'ateliers animés par des partenaires locaux et subventionnés par la collectivité;PLPD;non;coût++;2;impact++;2;Déchets et économie circulaire
5.0;48,97;405;Déchets et économie circulaire;Soutenir le développement d'une économie locale plus circulaire;Mettre en place des événementiels récurrents sur le sujet de l'Economie circulaire;coût ++/impact +;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;"Accueillir des évènements dans la déchetterie ""nouvelle génération""";;non;coût++;2;impact+;1;Déchets et économie circulaire
6.0;53,96;104;Inondation;Montée en compétences des acteurs du territoire face au risque inondation;Informer et former les agents communaux et des autres institutions au risque inondation;coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Déjà en place via le groupe référents des risques de la métropole : poursuite et intensification de la démarche;PAPI;non;coût+;1;impact++;2;Risque inondation
8.0;77,78;199;Alimentation;Développer une agriculture durable, en adéquation avec les attentes des consommateurs, qui réponde aux enjeux du territoire, de ses habitants et de la Loi EGAlim;Développer les micro fermes;coût+/ impact++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;fait l'objet d'une inscription au PPI;Soutien à la création d'une ferme urbaine;Charte agricole;non;coût+;1;impact++;2;Alimentation et agriculture
